DATE,代文|DIOVAN             NVR,安博维|APROVEL            SG9,傲坦|OLMETEC            DSC,科素亚|COZAAR             MHU,信立坦|XIN LI TAN         SI6,美卡素|MICARDIS           B.I,倍怡|BEI YI             ZJ5,奥美沙坦|LAN SHA            BW.,迪之雅|DI ZHI YA          SWY,吉加|JI JIA             JSH,缓宁|HUAN NING          SHR,维尔亚|WEI ER YA          CQU,平欣|PING XIN           S6B,必洛斯|BLOPRESS           T/T,奥必欣|AO BI XIN          Y.K,安来|AN LAI             ZJ5,缬沙坦分散片|VALSARTAN          GG0,穗悦|SUI YUE            B7J,伊泰青|YI TAI QING        G0N,科苏|KE SU              BP+,搏力高|BO LI GAO          ZYG,替米沙坦|SHU NI YA          BW.,厄贝沙坦分散片|IRBESARTAN         SW9,希佳|XI JIA             NJ2,缬克|XIE KE             JC4,欧美宁|OU MEI NING        HCN,丽珠维可|LIZHU WEIKE        LZB,欣平|XIN PING           HB&,邦坦|BANG TAN           JBI,诺金平|NUO JIN PING       ZNP,易达乐|YI DA LE           HH5,托平|TUO PING           ZHT,奥美沙坦酯片|OLMESARTAN MEDOXOM S6N,氯沙坦钾|KE SHI LAN         BW.,厄贝沙坦分散片|IRBESARTAN         LP+,替米沙坦胶囊|TELMISARTAN        BJP,伲利安|NI LI AN           QHU,若朋|RUO PENG           AHQ,悉君宁|XI JUN NING        BY8,伊达力|YI DA LI           ZUP,沙泰齐|SHA TAI QI         HYT,坎地沙坦酯片|CANDESARTAN CILEXE HCY,立文|LI WEN             H5R,苏纳|SU NA              JYZ,安内强|AN NEI QIANG       SZ.,替米沙坦分散片|TELMISARTAN        ZTS,欣益尔|XIN YI ER          BJA,天泉乐宁|TIAN QUAN LE NING  FTQ,缬沙坦|VALSARTAN          QJX,毓乐宁|YU LE NING         SZ&,坎地沙坦酯片|CANDESARTAN CILEXE S.1,平克亚欣|PING KE YA XIN     CQQ,获平|HUO PING           S1Q,康楚|KANG CHU           RU1,沙汀宁|SHA DING NING      H6W,氯沙坦钾片|LOSARTAN POTASSIUM CQK,科苏|KE SU              GRU,迪赛平|DI SAI PING        XIN,佳菲|JIA FEI            Y2U,维尔坦|WEI ER TAN         HHB,氯沙坦钾胶囊|LOSARTAN POTASSIUM HZZ,格平|GE PING            JXZ,嘉瑟宜|JIA SE YI          S9H,斯泰乐|SI TAI LE          SK4,浦美特|PU MEI TE          S&X,尼德舒|NI DE SHU          JN6,林平|LIN PING           YJP,德茨|DE CI              TJ6,洛格乐|LUO GE LE          T/H,替米沙坦片|TELMISARTAN        HDO,坎地沙坦酯片|CANDESARTAN CILEXE FFP,天易|TIAN YI            TOF,诺适美|NUO SHI MEI        JYZ,素定|SU DING            C/Q,替米沙坦胶囊|TELMISARTAN        H/G,倍迪宁|BEI DI NING        BY8,至信风|ZHI XIN FENG       JCP,亚邦恒贝|YA BANG HENG BEI   JYE,缬沙坦胶囊|YI FANG            B/G,山坦|SHAN TAN           LEK,利来客|LI LAI KE          AHP,博欣舒|BO XIN SHU         ZXJ,雪盈平|XUE YING PING      T&K,甘悦喜|GREATS             JN.,普利宁|PU LI NING         HL6,厄贝沙坦胶囊|IRBESARTAN         ZG&,坦芯素|TAN XIN SU         XIY,星复康|XING FU KANG       L5F,替米沙坦胶囊|TELMISARTAN        FGX,苏适|SU SHI             SZB,氯沙坦钾胶囊|LOSARTAN POTASSIUM S4U,奥美沙坦|TIAN QUAN AN KANG  FTQ,坎地沙坦酯胶囊|CANDESARTAN CILEXE QGW,氯沙坦钾片|LOSARTAN POTASSIUM BWI,安亚|AN YA              JXB,曲亚|QU YA              SZJ,坎地沙坦酯片|CANDESARTAN CILEXE HN4,达舒亚|DA SHU YA          YNV,氯沙坦钾|LOSARTAN POTASSIUM BJP,特立康|TE LI KANG         SE8,替米沙坦胶囊|TELMISARTAN        HE0,替米沙坦|DIYINING           JHU,常平|CHANG PING         HZ9,美斯|MEI SI             B-J,赛卡|SAI KA             BJT,替米沙坦|YA PING            JSK,尚尔宁|SHANG ER NING      YJP,伊康宁|YI KANG NING       S9H,替米沙坦片|TELMISARTAN        HW1,舒洛宁|SHU LUO NING       H9H,素定|SU DING            TIE,脉欣|MAI XIN            BEJ
2015-12-01,1544224377,735582970,224830487,594927730,970976,326410513,90310299,22506643,111428951,134986355,222788165,104669075,83977433,91748405,81741992,12728904,49695254,76891266,72730925,44514825,67891764,18217185,19142862,1839050,48687206,23871095,12739038,25982036,34012927,14448703,90677975,19296511,2185880,38421231,27236730,22552611,12203840,19392400,19473095,10171125,541927,44292,12716772,5328977,10303504,622020,10772703,0,6508737,1105780,11424753,5630391,2635305,8239115,5683471,8240589,11391593,8010342,3980291,16293081,1800095,12603440,2604891,1781650,3533383,7515539,358683,3540665,3522609,1237081,8328569,1097599,32228,4282462,1500572,207114,1596180,123998,2299728,3004200,1867,666054,2862253,1585191,3137442,2828344,203504,0,0,11204599,97770,0,388805,222934,16666055,0,0,8614,0,177047,87975,0,9874,0,17093,0,0,614663,0,0,1474,0
2016-03-01,1325978499,513767878,109242361,540269655,1113517,374311882,88186986,27999762,131228426,204788994,230794307,62848649,81604382,167779747,65585311,16885169,52564512,34966766,94508189,56628899,45084726,34749032,16774283,5679049,73534677,35693055,7160887,37246122,15942147,21073001,111234329,16566035,4847840,27642311,40110030,18513178,18231293,17382799,13067038,9212862,1155522,784512,6864188,9997937,15838788,2125279,17975587,0,5587537,686379,9236768,4334250,3493089,5329046,6440785,6680036,10296630,3829052,4991599,23261336,3013137,13758524,2578205,2988459,4195869,16434997,2306013,2907374,3155122,1036660,6879294,1406775,20223,7700119,1441425,245390,2464443,90162,1358437,3553174,0,488525,1705468,502195,2204682,1212232,182484,0,0,16721056,110311,0,490224,482659,14833798,2135,0,9877,0,155003,151441,0,8682,0,13385,0,0,780799,0,0,917,0
2016-06-01,697532650,934485667,216900028,595536541,723498,261887452,114420035,53416358,73213025,184502293,195085763,93327306,95207722,119509359,79845344,21054655,67748854,61041411,74444892,76722225,86868372,25769691,25657201,8355303,90735199,26945287,6596862,34369313,37925007,25814219,115227548,14207839,3713928,21376949,19987029,11339767,11649689,10821039,21789885,8242064,1096774,667242,9915065,8555014,11536389,3483614,19104600,0,7717246,975351,14562880,6698485,5314882,2859448,6530843,9394352,4646470,7795345,3936197,17516501,2209044,8386150,1417929,2717764,2990253,9217041,6164214,3409786,3378985,1276073,7159881,1138737,26326,2862725,1398896,602590,2460062,91556,1917206,5547196,3365,495295,2359250,539473,1535434,1483559,147934,0,0,17343273,104346,0,443698,619108,14256476,2584,0,317919,0,113576,197318,0,13331,0,21110,0,0,338175,67687,0,2751,0
2016-09-01,1704584809,766666463,205416385,627286504,1128915,344040162,72852929,55881909,145776588,169143187,249981978,79475936,43912199,126067647,102893795,20417985,38532791,52199923,73625217,77380192,88019566,41605488,37384053,5778842,85734298,27720039,6906724,28550322,38016701,14927562,69141772,11846843,5219117,37107262,31106591,17947399,6634136,16115135,12062742,11705276,798985,1052355,7183034,10880049,19490967,4167621,15850049,0,5322115,1376952,15338087,5664370,3872380,3133532,9544224,14485751,7532287,4337650,3769724,21999862,2332860,14669865,2201895,5464665,3692502,14470324,5807968,3339934,2912844,1468267,5512438,1334293,24485,2596787,2545637,454531,1549873,85299,1303079,3870701,25161,400618,1993094,567628,1676095,1603523,258137,0,0,17620131,41246,0,253620,648884,10464455,2629,0,1015374,0,135799,64315,0,18737,0,39856,0,0,406238,111641,0,2228,0
2016-12-01,774350954,956776600,146983954,631296722,1671287,226481462,104229346,54973522,74656707,200705592,179940870,55998333,38491936,142568708,54698385,16355047,39173516,48599375,73667783,50443526,36611473,41515494,44732640,7544289,59369668,31162256,19898551,57246895,27249949,21780856,106522764,23687128,6151682,21189301,57498934,23401118,11549397,25763264,21758704,12290232,670794,1651010,8845646,4861734,14478213,5202666,14486075,0,12504440,1593863,12933026,5270908,3539662,4867515,11652235,15272271,11065139,9638763,4266761,17898183,2569474,10511058,1969564,4711028,2071010,10253873,11800269,3764271,3868248,1025636,5440006,1705444,294980,6670711,1617317,697425,2112293,79717,1840458,2803103,111663,617356,1227558,664342,2129621,1511253,395793,0,0,9593571,11229,0,211053,420906,9967594,1191,0,1316520,0,72880,110620,0,15645,0,27765,624,0,355764,60095,0,1854,0
2017-03-01,1441333539,657101215,268412892,664176024,2648790,233793719,102538767,51167457,101289576,155300699,152662421,94986894,44711164,184355504,101929768,23854613,49263844,33089246,40875577,64045055,79221092,35138819,40513563,14656848,45070033,32851414,13821643,27197935,43217958,18700010,79570730,26834960,10072871,28385522,50974682,13632400,16698886,24912993,12387593,12888931,1198910,1030267,8661767,11966635,13512111,4865409,18383999,30863,5566292,1985432,14495696,3876883,5840500,4270603,10767870,16517611,7330159,4371010,7016631,27570773,2104765,14544244,2072248,2521032,2356013,7840617,11377798,4000828,5317749,1541986,10671779,1621758,584386,3838639,3287667,631303,2628406,88137,1510185,836847,127358,881558,2929055,833779,2075286,1494954,359941,0,0,9891080,16813,0,190502,307094,15608325,0,0,1406022,0,69293,46805,0,17430,0,16109,818,0,410060,63050,122436,1124,0
2017-06-01,898783263,1079892694,275237386,830372722,2434753,390456659,137077102,80085498,76840868,139913284,204126031,96702116,84964877,80886227,100205804,25962579,33393242,76776423,62907018,95843288,48664849,26192312,37992006,10827375,96729281,38038014,22208828,52461964,26277015,17797812,90726322,10888061,8988751,36382151,26794223,29071527,8420335,24472038,26939547,10452227,3523244,437657,9780819,9188184,15209539,6084778,9727849,195566,11630985,1830281,11173660,7105506,3522717,7584277,14884276,11252028,3764020,7623714,7855779,20618488,2016736,10007956,2129997,4617302,5186693,5300565,9992495,4033991,5883159,1129808,12861807,1604600,515333,3345744,1935434,780177,1288397,156440,1500161,1272013,447841,808538,2053070,1001176,2138369,969141,419140,1881,0,11086167,12835,0,121564,401460,9913233,0,0,2149039,0,106844,24150,0,19074,0,25965,405,0,162195,44720,194492,437,0
2017-09-01,1268311615,949259402,189637796,572462870,3776258,301963654,151423210,95911792,107352070,200103700,230582814,39206223,118975951,86482145,86258207,13544128,53428016,76463180,49682866,66350847,67984462,33303502,39006831,9110308,90005088,29197516,21551313,46766601,28982865,18828584,88415822,18081253,13481625,22111290,62971169,27562759,10867326,28718454,27018577,13570028,1636800,845728,9467969,14665340,14587699,3205766,17392084,463469,14504443,1407992,15032144,9751817,4382776,5469242,8729127,22769267,6544514,5272687,8026594,14090340,1890806,10705101,3194352,2566451,2737377,4352461,10305344,4919533,5565407,1451320,11833311,1603497,1473288,3545848,1555218,1150473,2268353,289292,1560304,610261,705242,570986,2385071,1268495,1636211,1561301,515381,1003,0,8052730,10084,0,135039,281857,5664227,0,47628,1494435,0,109225,1079,0,85788,0,15255,1150,0,60141,38210,127955,0,0
2017-12-01,1727018038,426697354,224221965,501563522,9181164,275033838,123155297,52747238,136035362,144715226,189306341,51582055,88544848,76782253,90843683,25679952,58553538,73321164,82745726,82135070,63180233,41644135,36985388,8407108,48421180,43684813,22542159,49337038,44066439,17952120,73237842,16784271,15548059,16054650,46208689,11589820,13654961,26043024,21514194,16488523,2785706,2960532,10597955,6479996,16091653,6924361,14139078,1167980,10889802,1580178,14898156,12604948,4610337,4230013,8424920,16870682,8130917,7260398,6390863,25315972,2016542,18504608,3179726,2452920,5763350,9513122,18847852,4082933,2784981,1776694,14540441,1452447,1379132,2426410,3738434,710980,2030404,439219,1673143,1366178,1084824,427960,1168989,903843,1464969,1021711,511338,1212,0,9847057,30705,0,205921,136334,8927537,0,93121,1418227,0,64165,675,0,78296,0,4314,0,0,14297,28413,451104,0,0
2018-03-01,1545741128,792245351,233416038,693244285,16340175,160672486,85075658,117867209,148380065,97631327,217296980,58105101,147942623,99886594,93760208,13229719,39655144,66010230,73901035,47954276,78417543,47638518,75978793,14891612,81360910,45045148,19249521,36695735,23573145,26279790,81608565,14274243,13412986,34094843,30519195,19918204,20281993,23343559,22597319,17817679,3527196,4954622,9551797,7858995,22015671,6997024,17473620,2262922,6973332,1548045,12738070,7486409,8181262,6762862,10416810,23185159,8566970,8196193,7637765,16820716,4462873,12440369,5011759,2204175,6533944,6550857,16831945,4723871,6312893,2153826,10663624,1497902,1587432,2780424,3723867,1610112,2227986,606108,1996962,2154381,1019735,853929,787371,1053530,884366,1004196,566252,4083,2563,8034948,37734,0,53494,272745,3683091,0,153756,2564190,0,17276,1850,0,69800,104201,12567,0,0,10338,26877,337744,0,0
